Year,GeoAreaName,Location,Sex,Value
2019,Lithuania,,MALE,580
2005,Turkmenistan,,MALE,585
2010,Turkmenistan,,MALE,331
2010,Turkmenistan,,BOTHSEX,433
2010,Turkmenistan,,FEMALE,103
2015,Turkmenistan,,FEMALE,91
2015,Turkmenistan,,MALE,259
2015,Turkmenistan,,BOTHSEX,350
2019,Turkmenistan,,BOTHSEX,337
2019,Turkmenistan,,FEMALE,80
2019,Turkmenistan,,MALE,257
2000,Luxembourg,,MALE,50
2000,Luxembourg,,BOTHSEX,70
2000,Luxembourg,,FEMALE,20
2005,Luxembourg,,BOTHSEX,61
2005,Luxembourg,,FEMALE,16
2005,Luxembourg,,MALE,46
2010,Luxembourg,,BOTHSEX,61
2010,Luxembourg,,FEMALE,17
2010,Luxembourg,,MALE,44
2015,Luxembourg,,BOTHSEX,69
2015,Luxembourg,,FEMALE,22
2015,Luxembourg,,MALE,47
2019,Luxembourg,,BOTHSEX,69
2019,Luxembourg,,FEMALE,22
2019,Luxembourg,,MALE,48
2000,Malta,,FEMALE,6
2000,Malta,,MALE,21
2000,Malta,,BOTHSEX,27
2005,Malta,,BOTHSEX,22
2005,Malta,,FEMALE,6
2000,Ukraine,,MALE,16117
2000,Ukraine,,BOTHSEX,19082
2000,Ukraine,,FEMALE,2965
2005,Ukraine,,BOTHSEX,15848
2005,Ukraine,,FEMALE,2395
2005,Ukraine,,MALE,13453
2010,Ukraine,,FEMALE,1894
2010,Ukraine,,BOTHSEX,11202
2010,Ukraine,,MALE,9308
2015,Ukraine,,BOTHSEX,9713
2005,Malta,,MALE,17
2010,Malta,,BOTHSEX,31
2010,Malta,,FEMALE,3
2010,Malta,,MALE,28
