Year,GeoAreaName,Disability status,Sex,Value
2014,Luxembourg,PWD,FEMALE,7.12
2014,Luxembourg,_T,FEMALE,7.42
2014,Luxembourg,PWD,BOTHSEX,6.81
2014,Luxembourg,_T,MALE,7.13
2014,Luxembourg,PD,BOTHSEX,16.94
2015,Luxembourg,PD,MALE,16.91
2015,Luxembourg,PD,FEMALE,22.82
2014,Sweden,PD,BOTHSEX,36.29
2014,Sweden,_T,FEMALE,8.27
2014,Sweden,PWD,MALE,8.22
2014,Sweden,PD,FEMALE,34.43
2014,Sweden,PD,MALE,39.54
2014,Sweden,_T,BOTHSEX,8.35
2015,Sweden,PWD,MALE,6.99
2015,Sweden,PD,FEMALE,23.37
2015,Sweden,_T,BOTHSEX,7.07
2020,Estonia,PD,FEMALE,11
2020,Estonia,PD,MALE,13
2020,Estonia,PD,BOTHSEX,12
2020,Estonia,PWD,BOTHSEX,7
2020,Estonia,_T,BOTHSEX,7
2020,Estonia,_T,MALE,7
2020,Estonia,_T,FEMALE,7
2020,Estonia,PWD,FEMALE,6
2015,Sweden,PWD,BOTHSEX,6.9
2015,Sweden,_T,MALE,7.08
2015,Sweden,PWD,FEMALE,6.81
2015,Sweden,_T,FEMALE,7.05
2015,Sweden,PD,BOTHSEX,20.54
2016,Sweden,PD,MALE,28.21
2016,Sweden,PWD,MALE,6.93
2016,Sweden,_T,MALE,7.15
2016,Sweden,_T,BOTHSEX,7.15
2016,Sweden,_T,FEMALE,7.16
2016,Sweden,PWD,FEMALE,7.04
2016,Sweden,PWD,BOTHSEX,6.98
2016,Sweden,PD,BOTHSEX,22.31
2017,Sweden,PD,MALE,28.37
2017,Sweden,PWD,BOTHSEX,6.03
2017,Sweden,PD,FEMALE,18.39
2017,Sweden,_T,BOTHSEX,6.31
2017,Sweden,PWD,MALE,6.16
2015,Luxembourg,_T,FEMALE,6.99
2015,Luxembourg,_T,MALE,6.36
2015,Luxembourg,PWD,BOTHSEX,5.92
2015,Luxembourg,PD,BOTHSEX,20.01
2015,Luxembourg,PWD,MALE,5.85
2015,Luxembourg,PWD,FEMALE,6
2015,Luxembourg,_T,BOTHSEX,6.65
2016,Luxembourg,PD,MALE,21.1
2016,Luxembourg,PWD,MALE,6.3
2020,Estonia,PWD,MALE,7
2021,Estonia,PD,FEMALE,14.99
2021,Estonia,_T,MALE,8.19
2021,Estonia,PWD,BOTHSEX,7.57
2021,Estonia,PD,BOTHSEX,18.25
2021,Estonia,PWD,MALE,7.66
2021,Estonia,PWD,FEMALE,7.48
2021,Estonia,PD,MALE,21.81
2021,Estonia,_T,BOTHSEX,8.01
2021,Estonia,_T,FEMALE,7.81
2004,Finland,PWD,BOTHSEX,10.69
2004,Finland,PD,MALE,25.14
2004,Finland,PD,BOTHSEX,21.64
2004,Finland,PD,FEMALE,18.15
2004,Finland,_T,FEMALE,10.33
2004,Finland,_T,MALE,11.78
2004,Finland,PWD,MALE,11.29
2004,Finland,_T,BOTHSEX,11.09
2016,Luxembourg,PD,FEMALE,18.1
2016,Luxembourg,PWD,FEMALE,7.96
2016,Luxembourg,_T,BOTHSEX,7.56
2016,Luxembourg,_T,FEMALE,8.44
2016,Luxembourg,PD,BOTHSEX,19.57
2016,Luxembourg,_T,MALE,6.84
2016,Luxembourg,PWD,BOTHSEX,7.04
2017,Luxembourg,PWD,MALE,6.27
2017,Luxembourg,PD,FEMALE,28.1
2017,Luxembourg,_T,BOTHSEX,7.71
2017,Luxembourg,_T,MALE,6.53
2017,Luxembourg,_T,FEMALE,9.1
2017,Luxembourg,PD,BOTHSEX,20.72
2017,Luxembourg,PWD,FEMALE,7.99
2017,Luxembourg,PWD,BOTHSEX,7.05
2017,Luxembourg,PD,MALE,12.49
2018,Luxembourg,PWD,BOTHSEX,6.71
2018,Luxembourg,PWD,MALE,6.58
2004,Finland,PWD,FEMALE,10.01
2005,Finland,_T,MALE,11.62
2005,Finland,PWD,BOTHSEX,10.35
2005,Finland,_T,BOTHSEX,10.59
2005,Finland,PWD,MALE,11.22
2005,Finland,PD,FEMALE,11.53
2005,Finland,PD,BOTHSEX,17.26
2005,Finland,PD,MALE,23.17
2005,Finland,PWD,FEMALE,9.39
2017,Sweden,_T,FEMALE,6.08
2017,Sweden,PD,BOTHSEX,23.68
2017,Sweden,_T,MALE,6.51
2017,Sweden,PWD,FEMALE,5.89
2018,Sweden,PWD,MALE,6.59
2018,Sweden,_T,BOTHSEX,6.9
2018,Sweden,_T,FEMALE,6.83
2018,Sweden,PD,MALE,34.09
2018,Sweden,_T,MALE,6.96
2018,Luxembourg,PD,FEMALE,26.33
2018,Luxembourg,_T,BOTHSEX,7.55
2018,Luxembourg,PD,MALE,18
2018,Luxembourg,_T,FEMALE,8
2018,Luxembourg,PWD,FEMALE,6.87
2018,Luxembourg,PD,BOTHSEX,21.91
2018,Luxembourg,_T,MALE,7.19
2019,Luxembourg,PWD,BOTHSEX,5.25
2019,Luxembourg,_T,FEMALE,6.09
2005,Finland,_T,FEMALE,9.47
2006,Finland,_T,BOTHSEX,9.78
2006,Finland,PD,FEMALE,19.18
2006,Finland,_T,MALE,10.47
2006,Finland,PD,BOTHSEX,26.93
2006,Finland,_T,FEMALE,9.02
2006,Finland,PD,MALE,36.22
2006,Finland,PWD,FEMALE,8.61
2006,Finland,PWD,BOTHSEX,9.19
2006,Finland,PWD,MALE,9.71
2007,Finland,PWD,BOTHSEX,8.9
2007,Finland,PWD,MALE,9.02
2007,Finland,PD,BOTHSEX,30.04
2007,Finland,PD,MALE,33.03
2007,Finland,_T,BOTHSEX,9.27
2007,Finland,PWD,FEMALE,8.76
2007,Finland,_T,MALE,9.42
2007,Finland,PD,FEMALE,27.08
2018,Sweden,PWD,FEMALE,6.42
2018,Sweden,PD,BOTHSEX,33.8
2018,Sweden,PD,FEMALE,33.51
2018,Sweden,PWD,BOTHSEX,6.51
2019,Sweden,_T,MALE,5.6
2019,Sweden,PWD,FEMALE,5.72
2019,Sweden,_T,BOTHSEX,5.81
2019,Sweden,PD,FEMALE,31.52
2019,Sweden,_T,FEMALE,6.05
2019,Luxembourg,PD,FEMALE,29.79
2019,Luxembourg,PD,BOTHSEX,28.51
2019,Luxembourg,PWD,MALE,5.46
2019,Luxembourg,_T,BOTHSEX,6.2
2019,Luxembourg,_T,MALE,6.3
2019,Luxembourg,PD,MALE,27.25
2019,Luxembourg,PWD,FEMALE,5.01
2020,Luxembourg,_T,FEMALE,8.81
2020,Luxembourg,PWD,MALE,8.19
2007,Finland,_T,FEMALE,9.1
2008,Finland,_T,BOTHSEX,7.96
2008,Finland,PWD,BOTHSEX,7.77
2008,Finland,_T,MALE,8.28
2008,Finland,PWD,MALE,7.95
2008,Finland,PWD,FEMALE,7.56
2008,Finland,PD,BOTHSEX,20.01
2008,Finland,PD,FEMALE,10.07
2008,Finland,_T,FEMALE,7.6
2019,Sweden,PD,MALE,14.44
2019,Sweden,PD,BOTHSEX,22.22
2019,Sweden,PWD,BOTHSEX,5.59
2019,Sweden,PWD,MALE,5.48
2020,Sweden,PD,MALE,28.34
2020,Sweden,PWD,BOTHSEX,7.32
2020,Sweden,_T,FEMALE,7.86
2020,Sweden,PD,FEMALE,31.57
2020,Sweden,PWD,MALE,7.16
