Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2000,Belgium,CAR,FEMALE,20526
2000,Belgium,RES,FEMALE,3649
2005,Belgium,RES,BOTHSEX,9433
2005,Denmark,CAN,BOTHSEX,15868
2005,Denmark,DIA,BOTHSEX,1398
2005,Denmark,CAR,BOTHSEX,17875
2005,Denmark,CAR,MALE,8531
2005,Denmark,RES,FEMALE,2206
2005,Denmark,DIA,FEMALE,661
2010,Denmark,CAN,FEMALE,7974
2010,Denmark,CAR,FEMALE,7995
2010,Denmark,DIA,FEMALE,596
2005,Belgium,DIA,BOTHSEX,1777
2005,Belgium,CAN,BOTHSEX,27361
2005,Belgium,CAR,BOTHSEX,34249
2005,Belgium,CAR,MALE,15580
2005,Belgium,RES,MALE,5379
2005,Belgium,DIA,MALE,734
2005,Belgium,CAN,MALE,15795
2005,Belgium,DIA,FEMALE,1042
2005,Belgium,RES,FEMALE,4054
2005,Belgium,CAN,FEMALE,11565
2005,Belgium,CAR,FEMALE,18669
2010,Belgium,CAR,FEMALE,17998
2010,Belgium,CAN,FEMALE,12859
2010,Belgium,RES,FEMALE,3825
2010,Belgium,DIA,BOTHSEX,1757
2010,Belgium,CAR,BOTHSEX,33102
2010,Belgium,CAN,BOTHSEX,29435
2010,Belgium,RES,MALE,5296
2010,Denmark,CAR,BOTHSEX,15416
2010,Denmark,RES,BOTHSEX,4591
2010,Denmark,CAN,BOTHSEX,16580
2010,Denmark,RES,MALE,2132
2010,Denmark,CAN,MALE,8606
2010,Denmark,RES,FEMALE,2458
2010,Denmark,CAR,MALE,7420
2010,Denmark,DIA,MALE,768
2010,Denmark,DIA,BOTHSEX,1364
2010,Ireland,CAN,BOTHSEX,7989
2010,Ireland,RES,BOTHSEX,2040
2010,Ireland,CAR,BOTHSEX,9046
2010,Ireland,DIA,BOTHSEX,487
2010,Ireland,RES,FEMALE,1014
2010,Ireland,RES,MALE,1026
2010,Ireland,CAR,FEMALE,4488
2010,Ireland,DIA,FEMALE,219
2010,Ireland,CAR,MALE,4557
2015,Denmark,CAN,BOTHSEX,16591
2015,Denmark,CAR,BOTHSEX,13364
2015,Denmark,DIA,BOTHSEX,1472
2015,Denmark,RES,BOTHSEX,4736
2015,Denmark,DIA,MALE,798
2015,Denmark,CAN,FEMALE,7851
2015,Denmark,CAR,FEMALE,6771
2015,Denmark,DIA,FEMALE,675
2015,Denmark,CAN,MALE,8740
2010,Belgium,CAR,MALE,15104
2010,Belgium,CAN,MALE,16576
2010,Belgium,RES,BOTHSEX,9121
2010,Belgium,DIA,MALE,731
2010,Belgium,DIA,FEMALE,1026
2015,Belgium,RES,MALE,5007
2015,Belgium,CAR,MALE,14210
2015,Belgium,DIA,MALE,714
2015,Belgium,CAN,MALE,16039
2010,Ireland,DIA,MALE,269
2010,Ireland,CAN,MALE,4193
2010,Ireland,CAN,FEMALE,3797
2015,Ireland,CAR,FEMALE,4207
2015,Ireland,RES,FEMALE,1217
2015,Ireland,CAN,FEMALE,3995
2015,Ireland,CAN,MALE,4602
2015,Ireland,DIA,MALE,266
2015,Ireland,CAN,BOTHSEX,8597
2015,Belgium,CAR,FEMALE,17722
2015,Belgium,DIA,FEMALE,906
2015,Belgium,CAN,FEMALE,12877
2015,Belgium,CAR,BOTHSEX,31931
2015,Belgium,CAN,BOTHSEX,28916
2015,Belgium,RES,BOTHSEX,9105
2015,Belgium,DIA,BOTHSEX,1620
2015,Belgium,RES,FEMALE,4098
2019,Belgium,CAN,FEMALE,12892
2015,Ireland,CAR,BOTHSEX,8642
2015,Ireland,DIA,BOTHSEX,486
2015,Ireland,RES,BOTHSEX,2520
2015,Ireland,DIA,FEMALE,220
2015,Ireland,CAR,MALE,4435
2015,Ireland,RES,MALE,1303
2019,Ireland,CAN,FEMALE,4205
2019,Ireland,RES,FEMALE,1328
2019,Ireland,DIA,FEMALE,221
2019,Ireland,CAR,FEMALE,3964
2019,Ireland,RES,MALE,1586
2019,Ireland,CAN,BOTHSEX,9080
2019,Ireland,CAR,BOTHSEX,8281
2019,Ireland,RES,BOTHSEX,2914
2019,Ireland,DIA,BOTHSEX,540
2019,Ireland,CAR,MALE,4317
2019,Ireland,CAN,MALE,4876
2019,Ireland,DIA,MALE,318
2019,Belgium,CAR,FEMALE,16829
2019,Belgium,CAR,BOTHSEX,30847
2019,Belgium,DIA,BOTHSEX,1654
2019,Belgium,DIA,FEMALE,874
2019,Belgium,RES,FEMALE,3924
2019,Belgium,CAN,BOTHSEX,29153
2019,Belgium,CAN,MALE,16260
2019,Belgium,DIA,MALE,780
2019,Belgium,CAR,MALE,14019
2000,Italy,RES,BOTHSEX,38214
2000,Italy,CAN,BOTHSEX,156347
2000,Italy,CAR,BOTHSEX,237021
2000,Italy,CAR,MALE,104234
2000,Italy,CAN,MALE,89611
2000,Italy,DIA,MALE,7097
2000,Italy,DIA,BOTHSEX,18126
2000,Italy,CAN,FEMALE,66736
2000,Italy,RES,FEMALE,16354
2015,Denmark,RES,MALE,2305
2015,Denmark,CAR,MALE,6593
2015,Denmark,RES,FEMALE,2432
2019,Denmark,CAR,BOTHSEX,12779
2019,Denmark,DIA,BOTHSEX,1531
2019,Denmark,RES,BOTHSEX,5237
2019,Denmark,CAR,MALE,6583
2019,Denmark,RES,MALE,2509
2019,Denmark,RES,FEMALE,2728
2000,Azerbaijan,CAN,FEMALE,2287
2000,Azerbaijan,CAR,FEMALE,15841
2000,Azerbaijan,RES,FEMALE,905
2000,Azerbaijan,DIA,FEMALE,925
2000,Azerbaijan,CAN,BOTHSEX,4813
2000,Azerbaijan,DIA,BOTHSEX,1622
2000,Azerbaijan,RES,BOTHSEX,1953
2000,Azerbaijan,CAN,MALE,2525
2000,Azerbaijan,CAR,MALE,15669
2000,Italy,CAR,FEMALE,132788
2000,Italy,DIA,FEMALE,11029
2000,Italy,RES,MALE,21860
2005,Italy,RES,BOTHSEX,38660
2005,Italy,CAN,BOTHSEX,161704
2005,Italy,DIA,MALE,8101
2005,Italy,CAN,MALE,92507
2005,Italy,RES,MALE,22072
2005,Italy,CAR,MALE,99939
2019,Denmark,CAN,BOTHSEX,16374
2019,Denmark,DIA,MALE,869
2019,Denmark,CAN,MALE,8646
2019,Denmark,CAN,FEMALE,7728
2019,Denmark,CAR,FEMALE,6196
2019,Denmark,DIA,FEMALE,662
2000,Estonia,RES,FEMALE,86
2000,Estonia,RES,MALE,220
2000,Estonia,DIA,MALE,57
2000,Estonia,CAN,MALE,1870
2000,Estonia,CAR,MALE,4481
2000,Estonia,RES,BOTHSEX,306
2000,Estonia,DIA,BOTHSEX,130
2000,Estonia,CAN,BOTHSEX,3484
2000,Estonia,CAR,BOTHSEX,10602
2000,Estonia,CAR,FEMALE,6121
2000,Estonia,DIA,FEMALE,73
2000,Estonia,CAN,FEMALE,1614
2005,Estonia,CAR,MALE,4197
